cmc_rank,date_added,symbol,name,price,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,Ticker,Memetics,Risk,Category,Minimal BI,Optimal BI,Generational Price,60x Buy Price,D4,Lower Target Price,Median Target Price,Out Target Price,WW,Last Update,Target Price Source,Strategy Tier,Focus List,Investement %,Price in November 10th (2022),Buy,Drop needed Minimal BI,Drop  needed to Optimal BI,Drop needed to 60x
12,2020-08-19T00:00:00.000Z,DOT,Polkadot,4.258158855260227,-0.19,1.0,-1.25,-15.69,-16.4,-15.03,DOT,,Low Risk (LR),Layer 0,3.0,2.0,1.0,1.5,,0.0,90.0,180.0,0.0,,Suppoman,TOM,,,5.405016881,0,29.55,53.03,64.77
52,2020-09-04T00:00:00.000Z,EGLD,MultiversX,24.618280982416206,-0.12,1.16,-4.44,-22.2,-28.53,-29.26,EGLD,,Medium Risk (HR),Layer 1,25.0,20.0,9.5,12.5,,0.0,750.0,1500.0,0.0,,Suppoman,Price Target Only,,,42.10755342,1,-1.55,18.76,49.22
2,2015-08-07T00:00:00.000Z,ETH,Ethereum,1633.7918382897194,0.06,0.82,-1.49,-11.79,-12.45,-11.26,ETH,,Stable(LR),Smart Contracts,800.0,650.0,300.0,208.3333333,,0.0,12500.0,25000.0,0.0,,Suppoman,No Risk Portfolio,,,1099.622243,0,51.03,60.22,87.25
2240,2022-05-02T16:13:03.000Z,EVMOS,Evmos,0.05755218460086313,-0.22,2.66,-7.26,-20.21,-37.2,-47.11,EVMOS,,Degen (GHR),Interoperability,0.2,0.135,0.08,0.058333333,,2.0,3.5,5.0,0.0,,Suppoman,Blocked,1.0,,1.2278,3,-247.51,-134.57,-1.36
127,2019-03-02T00:00:00.000Z,FET,Fetch.ai,0.24424744279601981,0.26,-2.72,5.03,22.54,11.42,8.93,FET,,Medium Risk (VHR),AI,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,Invest After Research,,,0.06884,0,100,100,100
171,2018-08-02T00:00:00.000Z,FLUX,Flux,0.37839665021435903,0.02,14.33,21.91,-4.64,-10.0,-16.04,FLUX,,Medium Risk (VHR),WEB3,0.3,0.25,0.1,0.1625,,3.0,9.75,12.0,31.0,45140.0,"Suppoman, NO BS",TOM,1.0,,0.506681792,0,20.72,33.93,57.06
85,2020-09-16T00:00:00.000Z,GALA,Gala,0.015959962395357186,-0.3,0.72,-16.12,-32.25,-34.28,-38.42,GALA,,Medium Risk (HR),Gaming,0.02,0.015,0.0085,0.012,,0.13,0.72,1.0,24.0,45093.0,Suppoman,Invest and Hold,1.0,0.05,0.025583424,1,-25.31,6.01,24.81
617,2023-02-04T23:52:41.000Z,GFAL,Games for a Living,0.023004203008571564,2.4,16.03,30.66,66.21,56.63,115.91,GFAL,,Degen (GHR),Gaming,0.003,0.002,0.001,0.00415,,0.0,0.249,0.498,28.0,45108.0,Suppoman,Super Risk One Shot,,,N/A,0,86.96,91.31,81.96
165,2022-01-11T12:55:50.000Z,GLMR,Moonbeam,0.1840868205076706,-0.67,1.29,-3.33,-20.9,-23.78,-29.06,GLMR,,Medium Risk (VHR),Interoperability,0.25,0.1,0.05,0.113333333,,4.5,6.8,9.1,31.0,45140.0,NO BS,DCA,1.0,0.1,0.3675,1,-35.81,45.68,38.43
789,2021-11-11T03:50:30.000Z,GMM,Gamium,0.00039633963919701807,0.07,0.86,-10.65,-29.13,-43.2,-58.17,GMM,,Degen (GHR),Metaverse,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,Super Risk One Shot,,,0.0005172,0,100,100,100
30,2019-09-17T00:00:00.000Z,HBAR,Hedera,0.04930229778420822,-0.15,2.0,-4.37,-17.96,4.32,2.46,HBAR,,Low Risk (MR),Layer 1,0.05,0.035,0.02,0.033333333,,0.69,2.0,5.5,0.0,,NO BS - Suppoman,DCA,1.0,0.1,0.044164545,1,-1.42,29.01,32.39
,2023-04-19T15:44:36.000Z,HELI,HeliSwap,0.006769822493206529,0,0,0,17.67,-34.83,-67.6,HELI,,Degen (GHR),Dex Eco System,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,Super Risk One Shot,,,N/A,0,100,100,100
493,2022-10-20T13:00:42.000Z,HELLO,HELLO Labs,0.04512240444947366,-0.13,-1.42,-9.56,11.97,12.15,21.87,HELLO,,High Risk (EHR),Layer 1,0.025,0.01,0.0,0.041666667,,0.0,2.5,5.0,0.0,,Suppoman,Price Target Only,1.0,0.04,N/A,0,44.6,77.84,7.66
673,2021-07-07T00:00:00.000Z,HERO,Metahero,0.0026325146316693512,-0.01,0.83,-1.38,-9.37,-10.42,-20.26,HERO,,Degen (GHR),Metaverse,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,28.0,45108.0,Beanstock,Price Target only,,,N/A,0,100,100,100
208,2019-12-17T00:00:00.000Z,HEX,HEX,0.003922887320627939,-0.04,0.46,1.45,-26.16,-51.62,-53.39,HEX,,Low Risk (MR),DeFi - Community,0.0135,0.0099,0.003,0.016666667,,0.0,1.0,2.0,0.0,,Suppoman,Price Target Only,,,0.028907319,3,-244.13,-152.37,-324.86
260,2022-10-31T07:02:20.000Z,HFT,Hashflow,0.3691835010438479,9.13,8.29,16.29,1.26,3.99,-10.08,HFT,,High Risk (EHR),DeFi,0.2,0.1,0.05,0.0,,0.0,0.0,0.0,0.0,,Suppoman,Need to Research,,,0.5431,0,45.83,72.91,100
328,2021-08-12T00:00:00.000Z,HIGH,Highstreet,1.290975246105386,-0.27,1.22,14.58,3.04,10.45,-18.17,HIGH,,High Risk (EHR),Metaverse,0.6,0.0,0.0,0.0,,0.0,0.0,0.0,28.0,45108.0,Suppoman,Price Target only,,,N/A,0,53.52,100,100
121,2020-06-05T00:00:00.000Z,HNT,Helium,1.4874538523747287,0.08,-1.82,-6.75,-29.87,10.33,5.82,HNT,,Medium Risk (VHR),Connectivity,1.25,0.8,0.5,0.833333333,,0.0,50.0,100.0,0.0,,Suppoman,Blocked,,,2.603081651,0,15.96,46.22,43.98
31,2021-03-23T00:00:00.000Z,ICP,Internet Computer,3.3249995706078823,-0.18,0.53,-0.11,-19.9,-17.79,-22.06,ICP,Nerative change to Networks beeing green,Low Risk (MR),Cloud Infra,3.5,2.5,1.0,1.083333333,,50.0,65.0,80.0,24.0,45093.0,Bit Boy,Invest and Hold,1.0,,3.6792,1,-5.26,24.81,67.42
